Status Toko,Kategori Utama,Sub Kategori,Jenis Produk,Persentase Biaya,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Anak Laki-laki,Rompi,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Anak Laki-laki,Sweater & Kardigan,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Anak Laki-laki,Blazer,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Anak Laki-laki,Hoodie,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Anak Laki-laki,Outerwear Lainnya,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Anak Laki-laki,Jeans,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Anak Laki-laki,Celana,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Anak Laki-laki,Celana Pendek,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Anak Laki-laki,Overall,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Anak Laki-laki,Jas & Setelan,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Anak Laki-laki,Pakaian Anak Laki-Laki Lainnya,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Anak Laki-laki,Atasan Lainnya,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Anak Laki-laki,Bawahan Lainnya,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Anak Perempuan,Kostum,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Anak Perempuan,Pakaian Dalam,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Anak Perempuan,Baju Tidur,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Anak Perempuan,Baju Renang,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Anak Perempuan,Kaos,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Anak Perempuan,Kaos Polo,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Anak Perempuan,Kemeja & Blouse,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Anak Perempuan,Jaket & Coat Reguler,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Anak Perempuan,Outerwear Musim Dingin,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Anak Perempuan,Rompi,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Anak Perempuan,Sweater & Kardigan,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Anak Perempuan,Blazer,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Anak Perempuan,Hoodie,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Anak Perempuan,Outerwear Lainnya,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Anak Perempuan,Jeans,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Anak Perempuan,Celana Panjang,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Anak Perempuan,Celana Pendek,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Anak Perempuan,Rok,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Anak Perempuan,Legging,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Anak Perempuan,Romper,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Anak Perempuan,Jumpsuit & Overall,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Anak Perempuan,Dress,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Anak Perempuan,Jas & Setelan,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Anak Perempuan,Pakaian Anak Perempuan Lainnya,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Anak Perempuan,Atasan Lainnya,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Anak Perempuan,Bawahan Lainnya,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Bayi,Outwear Reguler,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Bayi,Outwear Musim Dingin,9,,,,,,,,,,,,,,,
